fk_well,date,gwl
673,1998-09-28,159.78
673,1998-10-05,159.7
673,1998-10-12,159.67
673,1998-10-19,159.71
673,1998-10-26,159.86
673,1998-11-02,161.14
673,1998-11-09,161.06
673,1998-11-16,161.03
673,1998-11-23,160.95
673,1998-11-30,160.58
673,1998-12-07,160.33
673,1998-12-14,160.91
673,1998-12-21,161.13
673,1998-12-28,160.63
673,1999-01-04,160.51
673,1999-01-11,160.68
673,1999-01-18,160.72
673,1999-01-25,160.55
673,1999-02-01,161
673,1999-02-08,161.07
673,1999-02-15,160.78
673,1999-02-22,161.94
673,1999-03-01,161.42
673,1999-03-08,161.67
673,1999-03-15,161.59
673,1999-03-22,161.09
673,1999-03-29,161.06
673,1999-04-05,160.82
673,1999-04-12,161.05
673,1999-04-19,160.93
673,1999-04-26,160.98
673,1999-05-03,160.63
673,1999-05-10,160.45
673,1999-05-17,160.71
673,1999-05-24,160.55
673,1999-05-31,160.34
673,1999-06-07,160.18
673,1999-06-14,160.11
673,1999-06-21,160.03
673,1999-06-28,159.96
673,1999-07-05,159.88
673,1999-07-12,160.07
673,1999-07-19,160.21
673,1999-07-26,160.05
673,1999-08-02,159.89
673,1999-08-09,159.84
673,1999-08-16,159.9
673,1999-08-23,159.87
673,1999-08-30,159.8
673,1999-09-06,159.72
673,1999-09-13,159.67
673,1999-09-20,159.6
673,1999-09-27,159.61
673,1999-10-04,159.75
673,1999-10-11,159.88
673,1999-10-18,159.78
673,1999-10-25,159.72
673,1999-11-01,159.84
673,1999-11-08,160.13
673,1999-11-15,160.14
673,1999-11-22,160.02
673,1999-11-29,159.96
673,1999-12-06,160.15
673,1999-12-13,160.35
673,1999-12-20,161.76
673,1999-12-27,161.54
673,2000-01-03,161.25
673,2000-01-10,160.95
673,2000-01-17,160.71
673,2000-01-24,160.56
673,2000-01-31,160.6
673,2000-02-07,160.88
673,2000-02-14,161.23
673,2000-02-21,161.65
673,2000-02-28,161.22
673,2000-03-06,161.36
673,2000-03-13,161.08
673,2000-03-20,160.89
673,2000-03-27,160.68
673,2000-04-03,160.86
673,2000-04-10,160.71
673,2000-04-17,160.55
673,2000-04-24,160.4
673,2000-05-01,160.26
673,2000-05-08,160.14
673,2000-05-15,160.18
673,2000-05-22,160.09
673,2000-05-29,160.02
673,2000-06-05,160.91
673,2000-06-12,160.49
673,2000-06-19,160.305
673,2000-06-26,160.12
673,2000-07-03,159.97
673,2000-07-10,159.97
673,2000-07-17,160.22
673,2000-07-24,160.28
673,2000-07-31,160.39
673,2000-08-07,160.34
673,2000-08-14,160.14
673,2000-08-21,160.03
673,2000-08-28,159.98
673,2000-09-04,160
673,2000-09-11,160.11
673,2000-09-18,160.01
673,2000-09-25,160.01
673,2000-10-02,159.91
673,2000-10-09,159.85
673,2000-10-16,159.99
673,2000-10-23,159.91
673,2000-10-30,159.86
673,2000-11-06,160.09
673,2000-11-13,160.03
673,2000-11-20,160.33
673,2000-11-27,160.28
673,2000-12-04,160.21
673,2000-12-11,160.16
673,2000-12-18,160.11
673,2000-12-25,160.12
673,2001-01-01,160.04
673,2001-01-08,160.47
673,2001-01-15,160.41
673,2001-01-22,160.24
673,2001-01-29,160.47
673,2001-02-05,160.52
673,2001-02-12,160.67
673,2001-02-19,160.48
673,2001-02-26,160.68
673,2001-03-05,160.74
673,2001-03-12,161.09
673,2001-03-19,161.6
673,2001-03-26,161.91
673,2001-04-02,161.28
673,2001-04-09,160.99
673,2001-04-16,161.34
673,2001-04-23,161.3
673,2001-04-30,161.04
673,2001-05-07,160.72
673,2001-05-14,160.44
673,2001-05-21,160.45
673,2001-05-28,160.34
673,2001-06-04,160.2
673,2001-06-11,160.15
673,2001-06-18,160.3
673,2001-06-25,160.56
673,2001-07-02,160.33
673,2001-07-09,160.15
673,2001-07-16,160.1
673,2001-07-23,160.02
673,2001-07-30,160.01
673,2001-08-06,159.88
673,2001-08-13,159.78
673,2001-08-20,159.71
673,2001-08-27,159.67
673,2001-09-03,159.63
673,2001-09-10,159.93
673,2001-09-17,160.28
673,2001-09-24,160.69
673,2001-10-01,160.38
673,2001-10-08,160.29
673,2001-10-15,160.19
673,2001-10-22,160.05
673,2001-10-29,160.03
673,2001-11-05,159.97
673,2001-11-12,160.68
673,2001-11-19,160.41
673,2001-11-26,160.27
673,2001-12-03,161.1
673,2001-12-10,160.8
673,2001-12-17,160.5
673,2001-12-24,160.3
673,2001-12-31,161.11
673,2002-01-07,160.83
673,2002-01-14,160.49
673,2002-01-21,160.3
673,2002-01-28,160.64
673,2002-02-04,160.75
673,2002-02-11,160.65
673,2002-02-18,160.52
673,2002-02-25,160.8
673,2002-03-04,161.26
673,2002-03-11,160.78
673,2002-03-18,160.48
673,2002-03-25,161.46
673,2002-04-01,160.89
673,2002-04-08,160.51
673,2002-04-15,160.29
673,2002-04-22,160.14
673,2002-04-29,160.06
673,2002-05-06,161.24
673,2002-05-13,160.93
673,2002-05-20,160.51
673,2002-05-27,160.3
673,2002-06-03,160.13
673,2002-06-10,160.1
673,2002-06-17,160.03
673,2002-06-24,159.9
673,2002-07-01,159.82
673,2002-07-08,159.74
673,2002-07-15,159.7
673,2002-07-22,159.85
673,2002-07-29,159.78
673,2002-08-05,159.74
673,2002-08-12,159.83
673,2002-08-19,159.87
673,2002-08-26,159.79
673,2002-09-02,159.77
673,2002-09-09,159.68
673,2002-09-16,159.63
673,2002-09-23,159.62
673,2002-09-30,159.73
673,2002-10-07,159.76
673,2002-10-14,159.87
673,2002-10-21,160.2
673,2002-10-28,160.64
673,2002-11-04,160.79
673,2002-11-11,161.69
673,2002-11-18,161.73
673,2002-11-25,161.18
673,2002-12-02,160.9
673,2002-12-09,160.69
673,2002-12-16,160.46
673,2002-12-23,160.87
673,2002-12-30,160.93
673,2003-01-06,161.57
673,2003-01-13,160.96
673,2003-01-20,160.67
673,2003-01-27,160.85
673,2003-02-03,160.96
673,2003-02-10,160.95
673,2003-02-17,160.64
673,2003-02-24,160.42
673,2003-03-03,160.41
673,2003-03-10,160.71
673,2003-03-17,160.58
673,2003-03-24,160.36
673,2003-03-31,160.21
673,2003-04-07,160.13
673,2003-04-14,160.04
673,2003-04-21,159.92
673,2003-04-28,159.87
673,2003-05-05,159.84
673,2003-05-12,159.8
673,2003-05-19,159.81
673,2003-05-26,159.92
673,2003-06-02,159.89
673,2003-06-09,159.82
673,2003-06-16,159.74
673,2003-06-23,159.65
673,2003-06-30,159.57
673,2003-07-07,159.66
673,2003-07-14,159.59
673,2003-07-21,159.53
